ID,Acceleration Type,Device,Domain,Statistics,Signal,Axis,Motion
tbodyacc.mean.x,Body,Accelerometer,Time,Mean,Value,X,Acceleration
tbodyacc.mean.y,Body,Accelerometer,Time,Mean,Value,Y,Acceleration
tbodyacc.mean.z,Body,Accelerometer,Time,Mean,Value,Z,Acceleration
tbodyacc.std.x,Body,Accelerometer,Time,Std Dev,Value,X,Acceleration
tbodyacc.std.y,Body,Accelerometer,Time,Std Dev,Value,Y,Acceleration
tbodyacc.std.z,Body,Accelerometer,Time,Std Dev,Value,Z,Acceleration
tgravityacc.mean.x,Gravity,Accelerometer,Time,Mean,Value,X,Acceleration
tgravityacc.mean.y,Gravity,Accelerometer,Time,Mean,Value,Y,Acceleration
tgravityacc.mean.z,Gravity,Accelerometer,Time,Mean,Value,Z,Acceleration
tgravityacc.std.x,Gravity,Accelerometer,Time,Std Dev,Value,X,Acceleration
tgravityacc.std.y,Gravity,Accelerometer,Time,Std Dev,Value,Y,Acceleration
tgravityacc.std.z,Gravity,Accelerometer,Time,Std Dev,Value,Z,Acceleration
tbodyaccjerk.mean.x,Body,Accelerometer,Time,Mean,Value,X,Jerk
tbodyaccjerk.mean.y,Body,Accelerometer,Time,Mean,Value,Y,Jerk
tbodyaccjerk.mean.z,Body,Accelerometer,Time,Mean,Value,Z,Jerk
tbodyaccjerk.std.x,Body,Accelerometer,Time,Std Dev,Value,X,Jerk
tbodyaccjerk.std.y,Body,Accelerometer,Time,Std Dev,Value,Y,Jerk
tbodyaccjerk.std.z,Body,Accelerometer,Time,Std Dev,Value,Z,Jerk
tbodygyro.mean.x,Body,Gyroscope,Time,Mean,Value,X,Acceleration
tbodygyro.mean.y,Body,Gyroscope,Time,Mean,Value,Y,Acceleration
tbodygyro.mean.z,Body,Gyroscope,Time,Mean,Value,Z,Acceleration
tbodygyro.std.x,Body,Gyroscope,Time,Std Dev,Value,X,Acceleration
tbodygyro.std.y,Body,Gyroscope,Time,Std Dev,Value,Y,Acceleration
tbodygyro.std.z,Body,Gyroscope,Time,Std Dev,Value,Z,Acceleration
tbodygyrojerk.mean.x,Body,Gyroscope,Time,Mean,Value,X,Jerk
tbodygyrojerk.mean.y,Body,Gyroscope,Time,Mean,Value,Y,Jerk
tbodygyrojerk.mean.z,Body,Gyroscope,Time,Mean,Value,Z,Jerk
